时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		

2003-06-16,一	1.96		2.06		1.89		1.97		--		--		20,699,084	328,918,940	51.75		818		

2003-06-17,二	1.96		2.02		1.95		2.00		+1.52%		3.49%		5,684,036	91,366,414	14.21		796		

2003-06-18,三	2.00		2.01		1.91		1.93		-3.50%		4.89%		3,902,889	61,820,464	9.76		1415		

2003-06-19,四	1.93		1.98		1.87		1.95		+1.04%		5.65%		3,982,695	62,216,751	9.96		1332		

2003-06-20,五	1.94		1.97		1.87		1.87		-4.10%		5.20%		2,119,875	33,243,923	5.30		835		

2003-06-23,一	1.87		1.90		1.85		1.89		+1.07%		2.52%		1,313,147	20,296,183	3.28		777		

2003-06-24,二	1.88		1.91		1.87		1.88		-0.53%		1.72%		873,594		13,534,512	2.18		586		

2003-06-25,三	1.89		1.89		1.78		1.80		-4.26%		5.68%		1,979,947	30,030,531	4.95		873		

2003-06-26,四	1.80		1.81		1.72		1.77		-1.67%		4.83%		1,900,544	28,195,010	4.75		898		

2003-06-27,五	1.76		1.77		1.71		1.71		-3.39%		3.38%		1,240,400	18,145,141	3.10		653		

2003-06-30,一	1.70		1.76		1.69		1.71		+0.00%		4.24%		842,590		12,295,286	2.11		569		

2003-07-01,二	1.70		1.76		1.69		1.71		+0.00%		3.82%		712,849		10,397,960	1.78		491		

2003-07-02,三	1.74		1.85		1.72		1.81		+5.85%		7.65%		2,507,775	37,596,339	6.27		1103		

2003-07-03,四	1.78		1.80		1.76		1.79		-1.10%		2.31%		855,525		12,766,156	2.14		560		

2003-07-04,五	1.77		1.80		1.76		1.79		+0.00%		2.13%		568,166		8,453,640	1.42		415		

2003-07-07,一	1.78		1.78		1.74		1.76		-1.68%		2.33%		586,019		8,639,345	1.47		408		

2003-07-08,二	1.76		1.82		1.72		1.80		+2.27%		5.25%		798,641		11,871,165	2.00		476		

2003-07-09,三	1.80		1.81		1.77		1.77		-1.67%		2.62%		420,652		6,256,947	1.05		319		

2003-07-10,四	1.75		1.81		1.75		1.81		+2.26%		3.27%		844,124		12,655,366	2.11		549		

2003-07-11,五	1.81		1.81		1.78		1.79		-1.10%		1.51%		535,033		8,003,863	1.34		397		

2003-07-14,一	1.79		1.79		1.76		1.76		-1.68%		1.72%		540,149		8,017,008	1.35		444		

2003-07-15,二	1.76		1.85		1.76		1.84		+4.55%		4.83%		976,732		14,719,708	2.44		580		

2003-07-16,三	1.84		1.84		1.81		1.82		-1.09%		1.87%		497,544		7,529,730	1.24		385		

2003-07-17,四	1.82		1.85		1.81		1.85		+1.65%		2.49%		986,532		15,001,984	2.47		602		

2003-07-18,五	1.85		1.93		1.83		1.84		-0.54%		5.50%		2,749,486	42,587,228	6.87		1109		

2003-07-21,一	1.81		1.85		1.78		1.85		+0.54%		4.14%		1,570,656	23,754,801	3.93		747		

2003-07-22,二	1.86		1.89		1.82		1.85		+0.00%		3.62%		629,617		9,661,453	1.57		491		

2003-07-23,三	1.83		1.85		1.82		1.84		-0.54%		1.66%		425,125		6,462,863	1.06		279		

2003-07-24,四	1.83		1.85		1.78		1.79		-2.72%		3.75%		781,342		11,754,685	1.95		409		

2003-07-25,五	1.79		1.81		1.74		1.75		-2.23%		4.05%		713,935		10,569,874	1.78		471		

2003-07-28,一	1.74		1.75		1.72		1.73		-1.14%		1.86%		370,827		5,428,261	0.927		314		

2003-07-29,二	1.73		1.76		1.73		1.75		+1.16%		1.78%		260,015		3,821,790	0.650		255		

2003-07-31,四	1.73		1.78		1.73		1.77		+1.14%		3.22%		247,870		3,671,963	0.620		244		

2003-08-01,五	1.73		1.73		1.56		1.57		-11.30%		9.71%		2,884,659	40,279,394	7.21		967		

2003-08-04,一	1.55		1.57		1.45		1.56		-0.64%		7.61%		1,774,926	23,889,821	4.44		987		

2003-08-05,二	1.55		1.56		1.53		1.54		-1.28%		2.20%		557,977		7,591,075	1.39		474		

2003-08-06,三	1.55		1.56		1.49		1.50		-2.60%		3.99%		482,815		6,487,352	1.21		442		

2003-08-07,四	1.50		1.54		1.48		1.51		+0.67%		3.86%		273,200		3,680,949	0.683		289		

2003-08-08,五	1.52		1.52		1.49		1.49		-1.32%		2.51%		396,854		5,296,582	0.992		313		

2003-08-11,一	1.48		1.50		1.46		1.50		+0.67%		3.28%		371,505		4,916,412	0.929		277		

2003-08-12,二	1.51		1.60		1.51		1.58		+5.33%		6.15%		1,418,244	19,588,181	3.55		845		

2003-08-13,三	1.54		1.60		1.54		1.57		-0.63%		3.56%		518,053		7,122,501	1.30		417		

2003-08-14,四	1.54		1.59		1.54		1.55		-1.27%		2.88%		386,161		5,292,227	0.965		322		

2003-08-15,五	1.55		1.55		1.52		1.52		-1.94%		2.34%		357,252		4,833,149	0.893		309		

2003-08-18,一	1.52		1.53		1.50		1.50		-1.32%		2.38%		326,210		4,375,443	0.816		247		

2003-08-19,二	1.48		1.55		1.48		1.52		+1.33%		4.10%		281,347		3,769,852	0.703		196		

2003-08-20,三	1.52		1.52		1.49		1.51		-0.66%		2.27%		163,550		2,192,930	0.409		155		

2003-08-21,四	1.51		1.52		1.49		1.50		-0.66%		2.16%		280,105		3,747,504	0.700		189		

2003-08-22,五	1.49		1.51		1.49		1.50		+0.00%		1.45%		254,456		3,396,724	0.636		175		

2003-08-25,一	1.49		1.49		1.45		1.48		-1.33%		2.78%		526,589		6,948,995	1.32		269		

2003-08-26,二	1.46		1.49		1.46		1.47		-0.68%		1.84%		218,077		2,880,304	0.545		195		

2003-08-27,三	1.45		1.48		1.45		1.47		+0.00%		2.22%		238,749		3,145,111	0.597		165		

2003-08-28,四	1.46		1.47		1.41		1.41		-4.08%		4.19%		557,900		7,268,620	1.39		358		

2003-08-29,五	1.41		1.42		1.38		1.40		-0.71%		2.71%		473,287		6,042,187	1.18		369		

2003-09-01,一	1.40		1.54		1.40		1.52		+8.57%		9.97%		1,278,375	17,028,341	3.20		609		

2003-09-02,二	1.53		1.54		1.50		1.52		+0.00%		2.50%		764,162		10,278,986	1.91		502		

2003-09-03,三	1.52		1.53		1.49		1.53		+0.66%		2.61%		414,918		5,575,630	1.04		257		

2003-09-04,四	1.55		1.60		1.53		1.54		+0.65%		4.49%		1,462,947	20,122,592	3.66		786		

2003-09-05,五	1.54		1.54		1.50		1.52		-1.30%		2.83%		565,368		7,590,146	1.41		391		

2003-09-08,一	1.49		1.57		1.49		1.53		+0.66%		5.37%		524,436		7,082,479	1.31		273		

2003-09-09,二	1.53		1.59		1.53		1.56		+1.96%		3.67%		787,746		10,803,702	1.97		398		

2003-09-10,三	1.56		1.59		1.55		1.57		+0.64%		2.67%		375,751		5,160,209	0.939		237		

2003-09-11,四	1.58		1.58		1.55		1.56		-0.64%		1.62%		322,210		4,418,733	0.806		175		

2003-09-12,五	1.56		1.56		1.51		1.51		-3.21%		3.14%		388,944		5,238,654	0.972		268		

2003-09-15,一	1.52		1.52		1.47		1.47		-2.65%		3.84%		364,315		4,854,338	0.911		214		

2003-09-16,二	1.47		1.52		1.47		1.50		+2.04%		3.94%		243,322		3,245,952	0.608		192		

2003-09-17,三	1.54		1.54		1.48		1.50		+0.00%		4.45%		220,890		2,968,390	0.552		132		

2003-09-18,四	1.52		1.52		1.48		1.49		-0.67%		2.30%		180,705		2,414,492	0.452		155		

2003-09-19,五	1.50		1.58		1.49		1.55		+4.03%		5.83%		633,350		8,595,277	1.58		326		

2003-09-22,一	1.55		1.56		1.53		1.55		+0.00%		1.75%		146,400		1,996,944	0.366		139		

2003-09-23,二	1.54		1.57		1.52		1.56		+0.65%		3.28%		359,989		4,905,343	0.900		182		

2003-09-24,三	1.56		1.57		1.54		1.55		-0.64%		2.08%		153,337		2,089,766	0.383		136		

2003-09-25,四	1.55		1.55		1.50		1.50		-3.23%		3.39%		176,367		2,369,201	0.441		160		

2003-09-26,五	1.52		1.52		1.47		1.49		-0.67%		2.77%		176,580		2,353,425	0.441		134		

2003-09-29,一	1.50		1.50		1.44		1.45		-2.68%		4.00%		264,200		3,482,516	0.661		200		

2003-09-30,二	1.45		1.47		1.44		1.47		+1.38%		2.00%		164,400		2,155,565	0.411		143		

2003-10-08,三	1.47		1.47		1.45		1.47		+0.00%		1.36%		93,420		1,226,687	0.234		88		

2003-10-09,四	1.46		1.49		1.46		1.47		+0.00%		1.85%		160,630		2,122,792	0.402		116		

2003-10-10,五	1.48		1.54		1.47		1.52		+3.40%		4.56%		187,145		2,510,783	0.468		141		

2003-10-13,一	1.52		1.56		1.51		1.51		-0.66%		3.33%		158,689		2,148,809	0.397		166		

2003-10-14,二	1.51		1.52		1.48		1.49		-1.32%		2.40%		131,100		1,750,166	0.328		106		

2003-10-15,三	1.48		1.51		1.46		1.47		-1.34%		3.29%		125,800		1,670,047	0.315		125		

2003-10-16,四	1.46		1.49		1.42		1.42		-3.40%		4.94%		151,750		1,983,569	0.379		133		

2003-10-17,五	1.43		1.45		1.42		1.43		+0.70%		1.91%		163,728		2,127,874	0.409		140		

2003-10-20,一	1.43		1.44		1.41		1.43		+0.00%		2.40%		102,295		1,322,023	0.256		80		

2003-10-21,二	1.43		1.43		1.40		1.42		-0.70%		1.52%		138,366		1,782,174	0.346		130		

2003-10-22,三	1.41		1.49		1.40		1.46		+2.82%		6.01%		226,616		2,972,559	0.567		216		

2003-10-23,四	1.46		1.48		1.42		1.43		-2.05%		4.33%		140,600		1,845,461	0.352		175		

2003-10-24,五	1.49		1.49		1.43		1.44		+0.70%		3.92%		103,100		1,349,265	0.258		122		

2003-10-27,一	1.48		1.48		1.40		1.43		-0.69%		5.91%		347,300		4,512,070	0.868		179		

2003-10-28,二	1.40		1.44		1.40		1.41		-1.40%		3.04%		168,400		2,172,550	0.421		134		

2003-10-29,三	1.41		1.42		1.20		1.25		-11.35%		15.45%		843,566		10,310,663	2.11		480		

2003-10-30,四	1.25		1.26		1.21		1.21		-3.20%		4.07%		265,370		3,148,797	0.663		253		

2003-10-31,五	1.22		1.25		1.21		1.22		+0.83%		3.28%		147,765		1,753,899	0.369		174		

2003-11-03,一	1.21		1.26		1.15		1.24		+1.64%		9.08%		304,910		3,591,437	0.762		229		

