data0,data1,data2,data3,data4,data5,data6
001,15:00,64600,19.78,1277788.00,流出,--
002,14:56,2000,19.78,39560.00,流出,--
003,14:56,500,19.79,9895.00,流入,--
004,14:56,1000,19.78,19780.00,流出,--
005,14:56,8100,19.77,160157.00,流出,--
006,14:56,800,19.78,15824.00,流入,--
007,14:56,700,19.78,13846.00,流入,--
008,14:56,500,19.79,9895.00,流出,--
009,14:56,2500,19.79,49462.00,流入,--
010,14:56,3000,19.77,59321.00,流出,--
011,14:56,1900,19.78,37582.00,流出,--
012,14:56,14300,19.79,282990.00,流入,--
013,14:56,1200,19.78,23736.00,流入,--
014,14:56,7400,19.78,146372.00,流入,--
015,14:56,2900,19.77,57333.00,流出,--
016,14:56,1900,19.77,37563.00,流出,--
017,14:55,5000,19.77,98887.00,流出,--
018,14:55,3300,19.77,65241.00,流出,--
019,14:55,4700,19.78,92921.00,流入,--
020,14:55,9600,19.77,189792.00,流出,--
021,14:55,400,19.77,7908.00,流出,--
022,14:55,200,19.77,3954.00,流出,--
023,14:55,17500,19.77,346138.00,流出,--
024,14:55,1200,19.78,23734.00,流入,--
025,14:55,200,19.77,3954.00,流出,--
026,14:55,9600,19.78,189858.00,流入,--
027,14:55,14500,19.77,286665.00,流出,--
028,14:55,500,19.77,9885.00,流出,--
029,14:55,400,19.77,7908.00,流出,--
030,14:54,3800,19.77,75122.00,流入,--
031,14:54,1500,19.76,29645.00,流出,--
032,14:54,500,19.76,9880.00,流出,--
033,14:54,2200,19.77,43494.00,流入,--
034,14:54,1000,19.77,19770.00,流入,--
035,14:54,3000,19.77,59310.00,流入,--
036,14:54,14500,19.77,286665.00,流出,--
037,14:54,5000,19.77,98850.00,流出,--
038,14:54,3900,19.77,77131.00,流出,--
039,14:54,1000,19.77,19770.00,流出,--
040,14:54,1500,19.78,29670.00,流入,--
041,14:54,2600,19.78,51403.00,流入,--
042,14:54,100,19.77,1977.00,流出,--
043,14:54,2400,19.77,47448.00,流出,--
044,14:53,3300,19.77,65251.00,流出,--
045,14:53,4000,19.77,79095.00,流出,--
046,14:53,1100,19.78,21758.00,流入,--
047,14:53,800,19.78,15824.00,流入,--
048,14:53,1100,19.78,21748.00,流入,--
049,14:53,3400,19.77,67218.00,流出,--
050,14:53,200,19.78,3956.00,流入,--
051,14:53,2000,19.77,39540.00,流出,--
052,14:53,1700,19.77,33620.00,流出,--
053,14:53,2500,19.78,49450.00,流入,--
054,14:53,2700,19.77,53399.00,流出,--
055,14:52,500,19.77,9885.00,流出,--
056,14:52,1200,19.77,23734.00,流出,--
057,14:52,1400,19.78,27692.00,流出,--
058,14:52,10400,19.77,205688.00,流出,--
059,14:52,3000,19.78,59340.00,流出,--
060,14:52,5300,19.78,104834.00,流入,--
061,14:52,200,19.78,3956.00,流入,--
062,14:52,1100,19.78,21758.00,流入,--
063,14:52,300,19.78,5934.00,流入,--
064,14:52,3700,19.78,73186.00,流出,--
065,14:52,2000,19.78,39560.00,流出,--
066,14:52,1200,19.79,23738.00,流入,--
067,14:52,700,19.79,13853.00,流入,--
068,14:52,13500,19.78,267030.00,流出,--
069,14:51,1000,19.78,19780.00,流出,--
070,14:51,200,19.78,3956.00,流出,--
071,14:51,12000,19.77,237279.00,流出,--
072,14:51,2000,19.77,39540.00,流出,--
073,14:51,6800,19.77,134448.00,流出,--
074,14:51,11300,19.78,223414.00,流入,--
075,14:51,1300,19.78,25714.00,流入,--
076,14:50,500,19.77,9885.00,流出,--
077,14:50,700,19.78,13848.00,流出,--
078,14:50,9100,19.78,180028.00,流出,--
079,14:50,800,19.78,15828.00,流出,--
080,14:50,100,19.78,1978.00,流出,--
081,14:50,100,19.78,1978.00,流出,--
082,14:50,8300,19.78,164141.00,流入,--
083,14:50,500,19.77,9885.00,流出,--
084,14:50,20000,19.78,395600.00,流入,--
085,14:50,700,19.77,13839.00,流出,--
086,14:50,200,19.77,3954.00,流出,--
087,14:50,6700,19.77,132519.00,流出,--
088,14:49,3200,19.77,63264.00,流出,--
089,14:49,3500,19.77,69205.00,流出,--
090,14:49,300,19.78,5934.00,流入,--
091,14:49,8400,19.78,166152.00,流入,--
092,14:49,500,19.77,9885.00,流出,--
093,14:49,300,19.78,5934.00,流入,--
094,14:49,7500,19.78,148350.00,流出,--
095,14:49,2700,19.78,53406.00,流出,--
096,14:49,13900,19.78,274942.00,流出,--
097,14:49,200,19.79,3958.00,流入,--
098,14:49,1200,19.78,23738.00,流出,--
099,14:48,600,19.79,11874.00,流入,--
100,14:48,2800,19.79,55412.00,流出,--
101,14:48,4200,19.79,83144.00,流出,--
102,14:48,1400,19.79,27706.00,流出,--
103,14:48,2200,19.80,43539.00,流入,--
104,14:48,3000,19.79,59370.00,流出,--
105,14:48,2500,19.79,49475.00,流出,--
106,14:47,1000,19.79,19790.00,流出,--
107,14:47,1300,19.79,25727.00,流入,--
108,14:47,2100,19.79,41559.00,流出,--
109,14:47,600,19.80,11880.00,流入,--
110,14:47,2000,19.79,39580.00,流入,--
111,14:47,500,19.79,9895.00,流入,--
112,14:47,3000,19.79,59370.00,流出,--
113,14:47,200,19.80,3960.00,流入,--
114,14:47,400,19.79,7916.00,流出,--
115,14:47,100,19.79,1979.00,流出,--
116,14:46,6000,19.79,118740.00,流出,--
117,14:46,4400,19.79,87076.00,流出,--
118,14:46,1000,19.79,19790.00,流出,--
119,14:46,10500,19.79,207795.00,流入,--
120,14:46,10500,19.78,207790.00,流出,--
121,14:46,200,19.79,3958.00,流入,--
122,14:46,1000,19.78,19788.00,流出,--
123,14:46,10000,19.79,197900.00,流入,--
124,14:46,6000,19.78,118680.00,流出,--
125,14:46,2700,19.79,53433.00,流入,--
126,14:46,2200,19.79,43534.00,流入,--
127,14:45,600,19.78,11868.00,流入,--
128,14:45,1500,19.77,29655.00,流出,--
129,14:45,500,19.78,9890.00,流入,--
130,14:45,2400,19.78,47472.00,流出,--
131,14:45,1600,19.78,31648.00,流出,--
132,14:45,2000,19.79,39580.00,流入,--
133,14:45,1000,19.78,19780.00,流出,--
134,14:45,1500,19.79,29683.00,流入,--
135,14:45,500,19.78,9890.00,流出,--
136,14:45,6000,19.78,118680.00,流出,--
137,14:45,400,19.78,7912.00,流出,--
138,14:45,1000,19.78,19780.00,流出,--
139,14:45,3000,19.78,59340.00,流出,--
140,14:45,2000,19.79,39580.00,流入,--
141,14:44,300,19.78,5934.00,流出,--
142,14:44,1000,19.78,19780.00,流出,--
143,14:44,500,19.79,9895.00,流入,--
144,14:44,5500,19.78,108790.00,流出,--
145,14:44,2000,19.78,39560.00,流出,--
146,14:44,1000,19.78,19780.00,流出,--
147,14:44,1200,19.78,23736.00,流出,--
148,14:44,2400,19.78,47472.00,流出,--
149,14:44,900,19.79,17811.00,流入,--
150,14:44,1800,19.78,35604.00,流出,--
151,14:44,27100,19.79,536309.00,流入,--
152,14:44,9600,19.79,189984.00,流出,--
153,14:44,1800,19.79,35622.00,流出,--
154,14:44,12000,19.80,237600.00,流入,--
155,14:43,300,19.79,5937.00,流出,--
156,14:43,200,19.80,3960.00,流入,--
157,14:43,500,19.79,9895.00,流出,--
158,14:43,7900,19.80,156420.00,流入,--
159,14:43,900,19.80,17824.00,流出,--
160,14:43,4100,19.80,81180.00,流出,--
161,14:43,300,19.80,5940.00,流出,--
162,14:43,1700,19.80,33660.00,流出,--
163,14:42,51300,19.80,1015933.00,流出,--
164,14:42,100,19.81,1981.00,流出,--
165,14:42,2100,19.81,41601.00,流出,--
166,14:42,1200,19.82,23784.00,流入,--
167,14:42,2000,19.81,39620.00,流出,--
168,14:41,3600,19.81,71316.00,流出,--
169,14:41,200,19.82,3964.00,流入,--
170,14:41,500,19.81,9905.00,流出,--
171,14:41,100,19.82,1982.00,流入,--
172,14:41,1400,19.81,27744.00,流出,--
173,14:41,300,19.82,5946.00,流出,--
174,14:41,300,19.82,5945.00,流入,--
175,14:41,100,19.81,1981.00,流出,--
176,14:41,200,19.82,3964.00,流入,--
177,14:41,500,19.82,9910.00,流入,--
178,14:41,300,19.81,5943.00,流出,--
179,14:41,300,19.82,5946.00,流入,--
180,14:40,1800,19.82,35676.00,流入,--
181,14:40,100,19.82,1982.00,流入,--
182,14:40,2000,19.82,39640.00,流入,--
183,14:40,600,19.82,11892.00,流入,--
184,14:40,300,19.82,5946.00,流入,--
185,14:40,5600,19.82,110992.00,流入,--
186,14:40,2000,19.82,39640.00,流入,--
187,14:40,200,19.82,3964.00,流入,--
188,14:40,800,19.82,15856.00,流入,--
189,14:39,2000,19.82,39640.00,流入,--
190,14:39,500,19.82,9910.00,流入,--
191,14:39,900,19.81,17829.00,流出,--
192,14:39,700,19.82,13874.00,流入,--
193,14:39,100,19.82,1982.00,流入,--
194,14:39,900,19.81,17836.00,流出,--
195,14:38,1000,19.81,19810.00,流出,--
196,14:38,20100,19.83,398543.00,流入,--
197,14:38,100,19.81,1981.00,流出,--
198,14:38,2000,19.81,39620.00,流出,--
199,14:38,500,19.81,9905.00,流出,--
200,14:37,200,19.82,3964.00,流入,--
201,14:37,500,19.82,9910.00,流入,--
202,14:37,10600,19.82,210086.00,流入,--
203,14:37,400,19.81,7924.00,流出,--
204,14:37,1000,19.82,19820.00,流入,--
205,14:37,500,19.81,9905.00,流出,--
206,14:37,2500,19.82,49553.00,流出,--
207,14:36,1100,19.82,21802.00,流出,--
208,14:36,200,19.82,3964.00,流出,--
209,14:36,200,19.82,3964.00,流出,--
210,14:36,3000,19.82,59460.00,流出,--
211,14:36,2000,19.82,39655.00,流出,--
