价格(元),资金流入(万元),成交笔数,资金流出(万元),成交笔数(万元),资金净流入(万元),流入流出合计(万元),其它成交(万元),占成交总比例(%)
13.23,150.02,1.00,0.00,0.00,150.02,150.02,0,100.00%
13.24,51.36,1.00,112.40,1.00,-61.04,163.75,109.8075,22.31%
13.25,0.00,0.00,219.48,2.00,-219.48,219.48,299.6276,42.28%
13.26,0.00,0.00,216.03,2.00,-216.03,216.03,136.9466,61.20%
13.27,0.00,0.00,94.48,1.00,-94.48,94.48,0,100.00%
13.28,0.00,0.00,333.44,3.00,-333.44,333.44,301.2688,52.53%
13.29,39.48,1.00,291.75,2.00,-252.27,331.23,0,76.16%
13.30,0.00,0.00,26.84,1.00,-26.84,26.84,0,100.00%
13.31,0.00,0.00,105.01,1.00,-105.01,105.01,245.5333,29.96%
13.32,0.00,0.00,135.91,1.00,-135.91,135.91,52.3283,72.20%
13.33,34.26,1.00,0.00,0.00,34.26,34.26,974.7758,3.40%
13.34,0.00,0.00,23.75,1.00,-23.75,23.75,0,100.00%
13.35,44.84,1.00,438.56,3.00,-393.72,483.40,102.4677,67.20%
13.36,0.00,0.00,156.73,2.00,-156.73,156.73,461.4835,25.35%
13.37,0.00,0.00,0.00,0.00,0.00,0.00,107.9605,0.00%
13.38,0.00,0.00,319.85,6.00,-319.85,319.85,131.665,70.84%
13.39,0.00,0.00,187.88,4.00,-187.88,187.88,83.4187,69.25%
13.40,0.00,0.00,288.62,3.00,-288.62,288.62,264.2016,52.21%
13.41,0.00,0.00,197.39,4.00,-197.39,197.39,403.3987,32.86%
13.42,431.04,1.00,193.31,4.00,237.73,624.36,238.8203,27.54%
13.43,0.00,0.00,309.65,3.00,-309.65,309.65,100.928,75.42%
13.44,0.00,0.00,5899.71,4.00,-5899.71,5899.71,311.6135,94.98%
13.45,335.57,1.00,1134.53,10.00,-798.96,1470.10,892.2325,33.82%
13.46,109.17,1.00,143.10,1.00,-33.93,252.27,0,13.45%
13.47,64.66,1.00,484.73,4.00,-420.07,549.39,73.7621,67.41%
13.48,0.00,0.00,1595.06,7.00,-1595.06,1595.06,620.9306,71.98%
13.49,0.00,0.00,643.29,3.00,-643.29,643.29,330.4669,66.06%
13.50,74.60,1.00,1839.46,10.00,-1764.86,1914.05,563.8842,71.22%
13.51,0.00,0.00,553.91,4.00,-553.91,553.91,313.0991,63.89%
13.52,37.07,1.00,1035.49,5.00,-998.42,1072.55,298.0235,72.85%
13.53,52.42,1.00,220.62,2.00,-168.20,273.04,0,61.60%
13.54,131.67,1.00,72.92,1.00,58.75,204.59,0,28.71%
13.55,0.00,0.00,1166.60,10.00,-1166.60,1166.60,689.0013,62.87%
13.56,0.00,0.00,422.20,3.00,-422.20,422.20,311.2749,57.56%
13.57,0.00,0.00,747.05,5.00,-747.05,747.05,872.537,46.13%
13.58,110.27,1.00,681.04,2.00,-570.77,791.31,0,72.13%
13.59,107.57,1.00,124.38,1.00,-16.80,231.95,0,7.24%
13.60,0.00,0.00,1259.24,10.00,-1259.24,1259.24,359.5995,77.79%
13.61,0.00,0.00,0.00,0.00,0.00,0.00,144.6539,0.00%
13.62,0.00,0.00,37.92,1.00,-37.92,37.92,0,100.00%
13.63,0.00,0.00,81.99,3.00,-81.99,81.99,8.4533,90.65%
13.64,0.00,0.00,163.68,7.00,-163.68,163.68,138.0189,54.25%
13.65,0.00,0.00,240.53,12.00,-240.53,240.53,61.7043,79.58%
13.66,0.00,0.00,589.64,6.00,-589.64,589.64,164.1362,78.22%
13.67,0.00,0.00,154.36,6.00,-154.36,154.36,42.6526,78.35%
13.68,0.00,0.00,436.07,15.00,-436.07,436.07,147.0776,74.78%
13.69,0.14,1.00,710.84,23.00,-710.70,710.98,333.4413,68.05%
13.70,8.76,1.00,723.87,47.00,-715.11,732.63,979.9789,41.76%
13.71,4.25,4.00,1027.12,76.00,-1022.87,1031.37,706.7626,58.85%
13.72,41.54,6.00,545.67,105.00,-504.13,587.20,433.2424,49.40%
13.73,13.32,5.00,592.71,79.00,-579.39,606.03,718.8655,43.73%
13.74,49.20,7.00,785.07,130.00,-735.88,834.27,823.0982,44.40%
13.75,29.29,4.00,3178.10,315.00,-3148.80,3207.39,1788.1636,63.03%
